epoch,loss,val_loss
0,5.321412563323975,5.167348861694336
1,5.488936424255371,4.994237422943115
2,4.538041114807129,4.90333366394043
3,6.055419921875,4.769816875457764
4,4.812355995178223,4.6877617835998535
5,5.108330726623535,4.624636173248291
6,4.287169933319092,4.57016134262085
7,5.7820916175842285,4.503176212310791
8,4.678097724914551,4.464626789093018
9,4.8960676193237305,4.383683204650879
10,4.084862232208252,4.3127522468566895
11,5.527334690093994,4.206449508666992
12,4.495675086975098,4.2068095207214355
13,4.635359287261963,4.095574378967285
14,3.8603622913360596,3.9962522983551025
15,5.237417221069336,3.849985361099243
16,4.319974422454834,3.9136905670166016
17,4.379946708679199,3.810842275619507
18,3.612954616546631,3.7083370685577393
19,5.011960029602051,3.6218674182891846
