epoch,loss,val_loss
0,3.767720937728882,3.4625906944274902
1,3.4898931980133057,2.7641520500183105
2,3.122911214828491,1.9988988637924194
3,2.1579835414886475,1.4903209209442139
4,1.1701388359069824,1.2175688743591309
5,1.375670075416565,0.9303590059280396
6,1.1958955526351929,0.6189602613449097
7,0.7033713459968567,0.49441415071487427
8,0.5112468004226685,0.3955913484096527
9,0.5150820016860962,0.32956045866012573
10,0.4558371603488922,0.2798300087451935
11,0.38097378611564636,0.2367604821920395
12,0.3281314969062805,0.23480087518692017
13,0.43479520082473755,0.29446154832839966
14,0.3541344404220581,0.2779732048511505
15,0.3426797389984131,0.21954043209552765
16,0.30936965346336365,0.22374103963375092
17,0.41677772998809814,0.25910526514053345
18,0.3373691737651825,0.25333815813064575
19,0.3261340260505676,0.2106533944606781
